ID;Tytuł;Reżyser;Kraj;Rok produkcji;Czas;Gatunek
1;Kogel-mogel;Roman Załuski;Polska;1988;105;komedia obyczajowa
2;Pieniądze to nie wszystko;Juliusz Machulski;Polska;2001;102;komedia obyczajowa
3;Sposób na teściową;Robert Luketic;Niemcy/USA;2005;95;komedia romantyczna
4;Żelazna Dama;Phyllida Lloyd;Francja/Wielka Brytania;2011;105;biograficzny/dramat/polityczny
5;Tajemnica Filomeny;Stephen Frears;Francja/USA/Wielka Brytania;2013;94;dramat
6;Boska Florence;Stephen Frears;Francja/Wielka Brytania;2016;110;biograficzny/dramat/komedia
7;Joker;Todd Phillips;Kanada/USA;2019;122;dramat/kryminał
8;Jak wywołałem byłą żonę;Edward Hall;Wielka Brytania;2020;95;fantasy/komedia/romans
9;Mama;Julio Medem;Francja/Hiszpania;2015;111;dramat
10;Morderstwo w Orient Expressie;Kenneth Branagh;Francja/Kanada/Nowa Zelandia/USA/Wielka Brytania/Malta;2017;114;kryminał
11;U Pana Boga za piecem;Jacek Bromski;Polska;1998;100;dramat/komedia
12;Moulin Rouge!;Baz Luhrmann;Australia/USA;2001;126;melodramat/musical
13;Millerowie;Rawson Marshall Thurber;USA;2013;110;komedia kryminalna
14;Chłopiec w pasiastej piżamie;Mark Herman;USA/Wielka Brytania;2008;93;dramat/wojenny
15;Pan Popper i jego pingwiny;Mark Waters;USA;2011;95;familijny/komedia
16;Nerve;Henry Joost/Ariel Schulman;USA;2016;96;thriller
17;Omen;Richard Donner;USA/Wielka Brytania;1976;106;horror
18;Sierociniec;J.A. Bayona;Hiszpania/Meksyk;2007;105;dramat/horror
19;Bohemian Rhapsody;Bryan Singer;USA/Wielka Brytania;2018;134;biograficzny/dramat/muzyczny
20;Krzysiu, gdzie jesteś?;Marc Forster;USA;2018;104;familijny/komedia
21;Mamma mia!;Phyllida Lloyd;Niemcy/USA/Wielka Brytania;2008;110;musical/komedia romantyczna
22;Gwiezdne wojny: Skywalker. Odrodzenie;J.J. Abrams;USA;2019;141;przygodowy/sci-fi
23;Anioły i demony;Ron Howard;USA;2009;138;thriller
24;Ida;Paweł Pawlikowski;Dania/Polska;2013;80;dramat
25;Amatorzy;Iwona Siekierzyńska;Polska;2020;95;dramat/komedia
26;Miś;Stanisław Bareja;Polska;1980;111;komedia
27;Nie lubię poniedziałku;Tadeusz Chmielewski;Polska;1971;98;komedia obyczajowa
28;Wspomnienia Hiacynty Bukiet;Harold Snoad;Wielka Brytania;1997;61;komedia obyczajowa
29;Poszukiwany, poszukiwana;Stanisław Bareja;Polska;1972;83;komedia
30;Sami swoi;Sylwester Chęciński;Polska;1967;78;komedia obyczajowa
